table	ID	SkillGroupID	SkillLevel	SkillType	SkillName	Cooldown	MPCon	TotalDamage	DamAttCoeff	DamArmCoeff	DamMHPCoeff	DamTargetMHPCoeff	DamTargetHPCoeff	BuffSet1	BuffSet2	BuffSet3	SkillDesc
ChPCSkillInfo	1001001000001					0.0	0	0	0.8999999761581421	0.0	0.0						Dégâts de niveau 1 : {DamAttCoeff01} de l'Attaque de Jinwoo\nDégâts de niveau 2 : {DamAttCoeff02} de l'Attaque de Jinwoo\nDégâts de niveau 3 : {DamAttCoeff03} de l'Attaque de Jinwoo
ChPCSkillInfo	1001002000001					0.0	0	0	0.9200000166893005	0.0	0.0						Dégâts de niveau 1 : {DamAttCoeff01} de l'Attaque de Jinwoo.\nDégâts de niveau 2 : {DamAttCoeff02} de l'Attaque de Jinwoo.\nDégâts de niveau 3 : {DamAttCoeff03} de l'Attaque de Jinwoo.
ChPCSkillInfo	1001003000001					0.0	0	0	0.9599999785423279	0.0	0.0						Dégâts de niveau 1 : {DamAttCoeff01} de l'Attaque de Jinwoo.\nDégâts de niveau 2 : {DamAttCoeff02} de l'Attaque de Jinwoo.\nDégâts de niveau 3 : {DamAttCoeff03} de l'Attaque de Jinwoo.
ChPCSkillInfo	1001014000001					0.0	0	0	0.0	0.0	0.0						
ChPCSkillInfo	1001014100001					0.0	0	0	0.0	0.0	0.0						
ChPCSkillInfo	1001014200001					0.0	0	0	0.0	0.0	0.0						
ChPCSkillInfo	1001015000001					0.0	0	0	4.0	0.0	0.0			[90010002]	[90010005]	[90010006]	
ChPCSkillInfo	1001016000001					0.0	0	0	1.8300000429153442	0.0	0.0						Appuyer sur le bouton d'attaque de base au moment précis de l'utilisation d'une compétence d'arme, d'une attaque de changement d'arme, d'une Attaque de combo de ruée ou d'une Attaque de combo de ruée arrière active Frappe en chaîne.
ChPCSkillInfo	1001017000001					0.0	0	0	1.8300000429153442	0.0	0.0						Appuyer sur le bouton d'attaque de base au moment précis de l'utilisation d'une compétence d'arme, d'une attaque de changement d'arme, d'une Attaque de combo de ruée ou d'une Attaque de combo de ruée arrière active Frappe en chaîne.
ChPCSkillInfo	1001101000001					0.0	0	0	1.0	0.0	0.0						Appuyez sur le bouton d'attaque de base après une Ruée pour utiliser une Attaque de combo de ruée.
